gene,Methylation variation
FCAR,0.10035340871979666
LILRA5,0.09646457810266898
NSFP1,0.09194200092428194
PLEKHM1,0.09077163183029435
MAPT-IT1,0.09031806885465216
MAPT-AS1,0.09031153722347064
MAPT,0.08894943426320649
KANSL1,0.08881663719428119
LRRC37A,0.08824870610047705
LILRA6,0.08456494728461371
MCCC2,0.08422462697615128
CTDP1,0.08416794134807166
OSCAR,0.08328200161393215
CIRH1A,0.07906076988258649
KIR3DL2,0.07881677770341852
ADAM32,0.07854335315006468
LOC101929373,0.07828750088452682
SPPL2C,0.07467302097368027
CES1,0.07338831625015613
LAIR1,0.07298237735975711
GGNBP2,0.07160020673797837
TTYH1,0.07152254668547234
LSM14A,0.06706258249233049
NCR1,0.0657703154886199
NLRP7,0.06566280955347771
ARMC10,0.0655942327680015
LOC102724391,0.06521411677254602
SNTB2,0.06509191463290061
MRPL45,0.0649723883738162
SMN2,0.06489676230424118
CRHR1,0.06460204383514591
ARL17A,0.06457230798118818
LENG9,0.06429836117851187
LENG8,0.06375866433392877
BDP1,0.06312896569743306
RPL13AP22,0.06254501472091671
MYO19,0.06202220858838117
C17orf96,0.06142594118639388
SYNRG,0.061418988283063414
LILRB2,0.058952315354285294
ZNHIT3,0.058692255398975136
SOCS7,0.0586688440945747
ADAM18,0.05813236592352914
HLA-DOA,0.05806834563296809
LOC102724300,0.05783739403139548
TAP2,0.05779371458079028
BRD2,0.05771773705132795
LY6G6C,0.057636756038662945
C6orf25,0.057636223067916936
C6orf48,0.05758273620912805
SKIV2L,0.05756722336702036
SNORD84,0.057564479313279536
DUSP14,0.057191872185912304
TRNAN22,0.05713938581871161
VARS,0.057083017371159485
GABBR1,0.05706550981847498
MICA,0.05705159071935316
HLA-B,0.05703518942149744
LSM2,0.05699963314627578
WNT3,0.05680758349154222
TNF,0.056784696261064034
SNORD48,0.056746082622366995
SLC44A4,0.0567038411858606
MIR4646,0.05644245199385088
HSPA1L,0.05637276880519326
HSPA1A,0.05637276880519326
HLA-DQB1,0.056304378469539076
CDC42EP5,0.05621189556033145
HCG14,0.056202199562884095
HCG16,0.05570101133231343
DDR1,0.05553967018979025
MIR6832,0.05553787127937951
FLJ13224,0.05547286157083106
ATF6B,0.055275903919550576
HLA-DPA1,0.05501534184512283
HCG27,0.05494992089981937
PSMB3,0.05480965310946223
ARHGAP23,0.0547417799053175
SRCIN1,0.05446921807914125
PPP1R2P1,0.054021744501681415
PPP1R11,0.053077474236691485
PSMB8,0.05282777078332304
ABHD16A,0.05280934533236498
SNORA38,0.05273303627349571
SNORD52,0.0526788080396695
DDAH2,0.05253366150422796
LYZL6,0.05238881789849317
PSMB9,0.052228743646480676
DXO,0.051895104400963094
NEU1,0.051776487518381153
LTA,0.050162628791353685
DDX39B,0.04957465560239366
MARCH8,0.048814939472569215
FAM60A,0.04858305980275181
LY6G5C,0.04855428909903424
LOC101929494,0.04827438108866178
CSNK2B,0.04801550257227422
LY6G5B,0.04801550257227422
TRNAN5,0.048009587698533286
HSPA1B,0.04756344506153868
HNF1B,0.04745256828605459
CLIC1,0.04700320045585173
TAP1,0.04627891180665913
LOC101929072,0.04616925872072963
TBC1D3B,0.04544356438288331
ADAMTS12,0.04521974078852711
ZBTB12,0.04509575230092427
HLA-DPB1,0.044960703692506265
AIF1,0.04437976477842366
ZNRD1,0.04420505752762339
KCNIP4,0.043918083248559454
NFKBIL1,0.0437296941098521
ATP6V1G2,0.0437296941098521
TRB,0.043207361553209755
LOC644172,0.04290340376855081
RNF39,0.04283624587371381
PCGF2,0.042499917862818475
MRM1,0.04198057002215028
DHRS11,0.04198057002215028
CCHCR1,0.041423086575087836
NELFE,0.04115752704797285
MIR1236,0.04115752704797285
STK19,0.04100230201738543
GPANK1,0.03905963562095043
APOM,0.03862954010878176
HLA-Z,0.03856194213835121
LOC100294145,0.03856194213835121
PRRC2A,0.03840055709346297
MYL8P,0.03815607945959243
LYPLA2P1,0.03815607945959243
HCG9,0.03789668233616434
MICD,0.03789668233616434
SMN1,0.03781718638659777
EHMT2,0.03751785545267913
C2,0.03724609355053375
ATP6V1G2-DDX39B,0.037239882609673106
EPS8L1,0.036600356615371664
CWC25,0.03644513904945063
TAPSAR1,0.03643034829163186
C6orf47,0.03611102559408099
HCGVIII-2,0.036007537214229016
HCG4P8,0.036007537214229016
HLA-G,0.036007537214229016
ZNF430,0.035658878894214985
C4B,0.0354319008589837
LTB,0.035419303398945466
MSH5,0.03516907459899406
MSH5-SAPCD1,0.03516907459899406
C17orf98,0.03511449729207689
PPT2,0.03370804081140306
PRRT1,0.03370804081140306
LOC100507547,0.03370804081140306
PPT2-EGFL8,0.03370804081140306
TRIM15,0.03353399283196579
TADA2A,0.03343155539271081
TRIM27,0.03328034365685137
NLRP2,0.03320692499059295
BAG6,0.03314777450226528
TRIM39-RPP21,0.03299003468715527
TRIM39,0.03299003468715527
MLLT6,0.03292607592985983
ZNRD1-AS1,0.03229394952057475
ZNF85,0.03184222496422893
WNT9B,0.031594030326750205
GTF2H2,0.03117803022880865
TRNAE-UUC,0.030423589761724594
SERF1A,0.029951521171317254
MIR4727,0.02991558473489532
ADAM2,0.0296384786940438
KIR2DL4,0.02961778259801037
NSF,0.0293704048724183
